,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-201.34710413159814,-200.12822830672994,1.0,0.5714616869799014,0.5942184964050843
1,poly2,,-231.63960581777985,-230.42072999291165,1.0,0.4044833852337635,0.15455808212475916
2,poly3,,-202.71420494651852,-201.49532912165031,1.0,0.5134243880837963,0.7247951135822143
3,exp,,-184.03950060589688,-182.82062478102867,1.0,0.5003970135190025,0.6937740621044501
4,log,,-201.7077957539277,-200.4889199290595,1.0,0.42336780949210356,0.6674829985996112
5,power,,-2.253459737859653,-1.0345839129914522,0.9170830165513773,0.8677408975650238,0.9633779495482588
6,mult,,-278.58514525951165,-277.36626943464347,1.0,0.00038187746829104454,0.025854517408090767
7,hybrid_mult,,-219.64221433512742,-218.4233385102592,1.0,0.4172580766392132,0.38298647330064106
8,am,,9.915872402335921,11.134748227204122,0.05450714058778028,0.41065685973708976,0.6021323301253718
9,gm,,9.97228655695057,11.19116238181877,0.04377889584099359,0.46788510082816176,0.6429790803750711
10,hm,,9.859004530468564,11.077880355336765,0.06519985150687946,0.5824457256927558,0.7396460481180802
