,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-106.39729689829824,-106.20007232096202,1.0,0.0,
1,poly2,,-107.89563445524166,-107.69840987790545,1.0,0.0,
2,poly3,,-116.88021765377925,-116.68299307644304,1.0,0.0,
3,exp,,-115.20893392817774,-115.01170935084153,1.0,0.0,
4,log,,-113.73586445703523,-113.53863987969902,1.0,0.0,
5,power,,-112.49566965207148,-112.29844507473527,1.0,0.0,
6,mult,,-120.90696734905939,-120.70974277172317,1.0,0.0,
7,hybrid_mult,,-125.43994184239843,-125.24271726506221,1.0,0.0,
8,am,,6.00139900928198,6.198623586618199,0.7084548104584288,0.0,
9,gm,,4.446075326988506,4.643299904324726,0.826400002035552,0.0,
10,hm,,2.504914553700303,2.7021391310365224,0.9091054358191538,0.0,
