,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-106.74854592293784,-106.55132134560162,1.0,0.0,
1,poly2,,-109.044045243142,-108.84682066580578,1.0,0.0,
2,poly3,,-118.95482104555292,-118.7575964682167,1.0,0.0,
3,exp,,-137.49136176055376,-137.29413718321754,1.0,0.0,
4,log,,-107.59139754014939,-107.39417296281317,1.0,0.0,
5,power,,-96.16989324973181,-95.9726686723956,1.0,0.0,
6,mult,,-112.14768498269054,-111.95046040535432,1.0,0.0,
7,hybrid_mult,,-105.58757360789454,-105.39034903055833,1.0,0.0,
8,am,,10.236393686589837,10.433618263926057,0.921985540794105,0.0,
9,gm,,10.630153932207053,10.827378509543273,0.9110434899526253,0.0,
10,hm,,11.097868781830524,11.295093359166744,0.8960351824598084,0.0,
