Variable,Pearson Correlation Coefficient,p-value
TRAIN1_SIZE,-0.008907311630590959,0.8391159961564273
TRAIN1_JSD,0.46145785620800234,6.888624904321273e-29
TRAIN2_SIZE,0.28587385187925435,2.8295646510784722e-11
TRAIN2_JSD,-0.889246512712363,9.171865565000011e-179
GEO_DIST,-0.026234874766775565,0.5497981745647802
GEN_DIST,-0.10415770808148263,0.017289276363601926
SYN_DIST,0.050239484604824365,0.25187397657412597
PHO_DIST,0.014545381552153472,0.7402337276044051
INV_DIST,0.02904133898985905,0.5079290759437988
FEA_DIST,0.05906545066764584,0.17784220106296786
