Variable,Lang,Pearson Correlation Coefficient,p-value
TRAIN1_SIZE,overall,-0.008907311630590959,0.8391159961564273
TRAIN1_SIZE,ka,0.024817486857482928,0.8163950896697517
TRAIN1_SIZE,gu,-0.028078177664601297,0.7927808265377658
TRAIN1_SIZE,hi,-0.018612380215028583,0.8441775301658271
TRAIN1_SIZE,si,-0.01638440393566194,0.8626347277331768
TRAIN1_SIZE,ta,-0.007823310997167893,0.9341610082935216
TRAIN1_JSD,overall,0.46145785620800234,6.888624904321273e-29
TRAIN1_JSD,ka,0.4939318131001335,7.528062898470314e-07
TRAIN1_JSD,gu,0.4410478736985243,1.3557940719091747e-05
TRAIN1_JSD,hi,0.51586958792395,4.254338158448044e-09
TRAIN1_JSD,si,0.4418876087826952,8.572702634841468e-07
TRAIN1_JSD,ta,0.47394054063892854,1.0027060073879488e-07
TRAIN2_SIZE,overall,0.28587385187925435,2.8295646510784722e-11
TRAIN2_SIZE,ka,0.25471106946007716,0.015404489294133634
TRAIN2_SIZE,gu,0.28102234555389416,0.007295555130277246
TRAIN2_SIZE,hi,0.3141114283142395,0.0006655329988758477
TRAIN2_SIZE,si,0.26971558230194503,0.0037076368562540276
TRAIN2_SIZE,ta,0.2922428606948136,0.0016044935405406424
TRAIN2_JSD,overall,-0.889246512712363,9.171865565000011e-179
TRAIN2_JSD,ka,-0.9198855833356091,1.5532568527666999e-37
TRAIN2_JSD,gu,-0.8618705326948396,1.1008889209683166e-27
TRAIN2_JSD,hi,-0.9186514022557027,5.494059096293992e-47
TRAIN2_JSD,si,-0.9198692488243853,2.4429475016800665e-47
TRAIN2_JSD,ta,-0.900293626377314,2.907600923700604e-42
GEO_DIST,overall,-0.026234874766775565,0.5497981745647802
GEO_DIST,ka,nan,nan
GEO_DIST,gu,nan,nan
GEO_DIST,hi,nan,nan
GEO_DIST,si,nan,nan
GEO_DIST,ta,nan,nan
GEN_DIST,overall,-0.10415770808148263,0.017289276363601926
GEN_DIST,ka,nan,nan
GEN_DIST,gu,nan,nan
GEN_DIST,hi,nan,nan
GEN_DIST,si,nan,nan
GEN_DIST,ta,nan,nan
SYN_DIST,overall,0.050239484604824365,0.25187397657412597
SYN_DIST,ka,nan,nan
SYN_DIST,gu,nan,nan
SYN_DIST,hi,nan,nan
SYN_DIST,si,nan,nan
SYN_DIST,ta,nan,nan
PHO_DIST,overall,0.014545381552153472,0.7402337276044051
PHO_DIST,ka,nan,nan
PHO_DIST,gu,nan,nan
PHO_DIST,hi,nan,nan
PHO_DIST,si,nan,nan
PHO_DIST,ta,nan,nan
INV_DIST,overall,0.02904133898985905,0.5079290759437988
INV_DIST,ka,nan,nan
INV_DIST,gu,nan,nan
INV_DIST,hi,nan,nan
INV_DIST,si,nan,nan
INV_DIST,ta,nan,nan
FEA_DIST,overall,0.05906545066764584,0.17784220106296786
FEA_DIST,ka,nan,nan
FEA_DIST,gu,nan,nan
FEA_DIST,hi,nan,nan
FEA_DIST,si,nan,nan
FEA_DIST,ta,nan,nan
