Variable,Lang,Pearson Correlation Coefficient,p-value
TRAIN_SIZE,overall,0.24678725036356328,0.0010277779340515936
TRAIN_SIZE,ka,0.28201549077027566,0.13107781322320278
TRAIN_SIZE,gu,0.2504042922572586,0.1407549209014783
TRAIN_SIZE,hi,0.26331119149479615,0.12074923703946977
TRAIN_SIZE,si,0.22269786230716163,0.19172385963746122
TRAIN_SIZE,ta,0.23260788558612328,0.1721890318195905
TRAIN_JSD,overall,-0.9175531372601848,8.466395165220418e-71
TRAIN_JSD,ka,-0.9014520896013999,1.082729984891662e-11
TRAIN_JSD,gu,-0.8977581476888732,1.1769854123161499e-13
TRAIN_JSD,hi,-0.9495011286220327,1.093180579237546e-18
TRAIN_JSD,si,-0.9482191825598365,1.6575604917281669e-18
TRAIN_JSD,ta,-0.9418182222380941,1.1440398236298398e-17
GEO_DIST,overall,0.0025054300756229978,0.973825517883343
GEO_DIST,ka,nan,nan
GEO_DIST,gu,nan,nan
GEO_DIST,hi,nan,nan
GEO_DIST,si,nan,nan
GEO_DIST,ta,nan,nan
GEN_DIST,overall,-0.086326013124275,0.2573711584238061
GEN_DIST,ka,nan,nan
GEN_DIST,gu,nan,nan
GEN_DIST,hi,nan,nan
GEN_DIST,si,nan,nan
GEN_DIST,ta,nan,nan
SYN_DIST,overall,0.0365046718093208,0.6324947784659755
SYN_DIST,ka,nan,nan
SYN_DIST,gu,nan,nan
SYN_DIST,hi,nan,nan
SYN_DIST,si,nan,nan
SYN_DIST,ta,nan,nan
PHO_DIST,overall,-0.0085896774252427,0.9104340895446252
PHO_DIST,ka,nan,nan
PHO_DIST,gu,nan,nan
PHO_DIST,hi,nan,nan
PHO_DIST,si,nan,nan
PHO_DIST,ta,nan,nan
INV_DIST,overall,0.02391036264379149,0.7541508997400956
INV_DIST,ka,nan,nan
INV_DIST,gu,nan,nan
INV_DIST,hi,nan,nan
INV_DIST,si,nan,nan
INV_DIST,ta,nan,nan
FEA_DIST,overall,0.033738858869019804,0.6585151181407314
FEA_DIST,ka,nan,nan
FEA_DIST,gu,nan,nan
FEA_DIST,hi,nan,nan
FEA_DIST,si,nan,nan
FEA_DIST,ta,nan,nan
